City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,-13.36,99,100,6.8,overcast clouds
80,Strezhevoy,RU,60.7333,77.5889,19.38,96,100,8.03,overcast clouds
81,Eyl,SO,7.9803,49.8164,74.26,70,8,17.76,clear sky
82,Jiazi,CN,22.8779,116.067,54.28,82,100,10.42,overcast clouds
83,Port Blair,IN,11.6667,92.75,75.24,88,40,2.3,mist
84,Yueyang,CN,29.3333,113.0919,41.34,79,100,4.29,overcast clouds
85,Mataura,NZ,-46.1927,168.8643,51.48,98,100,0.51,moderate rain
86,Lima Duarte,BR,-21.8425,-43.7931,81.16,94,100,2.89,moderate rain
87,Bredasdorp,ZA,-34.5322,20.0403,64.27,68,31,16.11,scattered clouds
88,Chokurdakh,RU,70.6333,147.9167,-27.85,99,57,3.38,broken clouds
89,Gorontalo,ID,0.5412,123.0595,73.65,97,100,4.79,overcast clouds
90,Tura,IN,25.5198,90.2201,59.86,57,77,4.65,broken clouds
91,Lebu,CL,-37.6167,-73.65,64.33,80,100,13.89,overcast clouds
92,Horsham,GB,51.064,-0.3272,50.02,71,40,8.05,scattered clouds
93,Longyearbyen,SJ,78.2186,15.6401,17.44,67,0,0.0,clear sky
94,Aguimes,ES,27.9054,-15.4461,73.65,56,100,3.44,overcast clouds
95,Homer,US,59.6425,-151.5483,35.49,75,100,9.22,light snow
96,Airai,TL,-8.9266,125.4092,60.89,94,100,2.75,overcast clouds
97,Kapaa,US,22.0752,-159.319,71.92,87,20,11.5,few clouds
98,Leningradskiy,RU,69.3833,178.4167,-12.39,84,2,8.55,clear sky
99,Samsun,TR,41.25,36.3333,48.96,81,75,20.71,broken clouds
100,Vila Velha,BR,-20.3297,-40.2925,77.95,89,75,1.99,broken clouds
101,Urengoy,RU,65.9667,78.3667,7.99,96,100,3.13,light snow
102,Ponta Do Sol,PT,32.6667,-17.1,68.0,73,44,5.53,scattered clouds
103,Tandil,AR,-37.3217,-59.1332,79.74,60,7,3.27,clear sky
104,San Luis,AR,-33.295,-66.3356,90.68,22,14,11.99,few clouds
105,Tuatapere,NZ,-46.1333,167.6833,51.82,92,100,2.71,moderate rain
106,Iqaluit,CA,63.7506,-68.5145,-9.31,63,100,8.99,light snow
107,Puerto Colombia,CO,10.9878,-74.9547,89.69,72,0,20.76,clear sky
108,Mehamn,NO,71.0357,27.8492,24.98,93,75,9.22,broken clouds
109,Kavaratti,IN,10.5669,72.642,79.05,70,5,6.24,clear sky
110,Caravelas,BR,-17.7125,-39.2481,83.91,62,88,8.9,overcast clouds
111,Honningsvag,NO,70.9821,25.9704,24.55,80,40,8.05,scattered clouds
112,Beloha,MG,-25.1667,45.05,74.08,86,26,17.94,scattered clouds
113,Dvorichna,UA,49.8496,37.6857,32.18,99,100,6.62,light snow
114,Nantucket,US,41.2835,-70.0995,48.31,93,100,5.75,mist
115,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,90,100,11.99,overcast clouds
116,Dikson,RU,73.5069,80.5464,-16.42,99,100,5.08,overcast clouds
117,Shenjiamen,CN,29.9576,122.298,43.81,70,92,13.0,overcast clouds
118,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,46,0,2.3,clear sky
119,Poum,NC,-20.2333,164.0167,81.91,81,100,14.32,light rain
120,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,75,9.22,light snow
121,Mar Del Plata,AR,-38.0023,-57.5575,73.42,87,0,5.99,light rain
122,Bengkulu,ID,-3.8004,102.2655,75.97,90,100,4.88,overcast clouds
123,Koungou,YT,-12.7336,45.2042,83.91,79,20,4.61,few clouds
124,Maridi,SS,4.9158,29.4742,80.85,26,100,7.52,overcast clouds
125,Roebourne,AU,-20.7833,117.1333,83.52,70,96,5.46,overcast clouds
126,Maragogi,BR,-9.0122,-35.2225,83.84,59,59,12.17,broken clouds
127,Hilo,US,19.7297,-155.09,73.4,68,40,8.05,scattered clouds
128,Nyurba,RU,63.2842,118.3319,-26.57,100,78,3.65,broken clouds
129,Angoram,PG,-4.0625,144.0661,72.07,96,100,1.61,light rain
130,Marawi,PH,7.9986,124.2928,67.64,92,94,0.87,overcast clouds
131,Basoko,CD,1.2391,23.616,80.74,48,100,6.11,overcast clouds
132,Coihaique,CL,-45.5752,-72.0662,72.21,52,75,8.05,broken clouds
133,Luderitz,NA,-26.6481,15.1594,68.85,71,2,16.53,clear sky
134,Guiren,CN,33.6697,118.1889,33.75,60,6,3.4,clear sky
135,Cap Malheureux,MU,-19.9842,57.6142,81.09,85,100,17.0,light rain
136,Iracoubo,GF,5.4802,-53.2011,78.49,86,33,10.87,scattered clouds
137,Antofagasta,CL,-23.65,-70.4,71.22,64,4,11.61,clear sky
138,Antalaha,MG,-14.9003,50.2788,77.58,83,100,5.32,overcast clouds
