City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Inirida,CO,86.56,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
252,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
257,Villa Carlos Paz,AR,82.04,light rain,-31.4241,-64.4978,Monte Carlo vcp
259,Ambulu,ID,75.88,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
260,Olavarria,AR,83.79,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
263,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
265,Labuhan,ID,76.84,overcast clouds,-6.8844,112.2051,DoubleFAG
273,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
276,Takoradi,GH,80.85,clear sky,4.8845,-1.7554,Raybow International Hotel
277,Coxim,BR,84.67,overcast clouds,-18.5067,-54.76,Hotel Avenida
282,Kochi,IN,78.78,clear sky,9.9399,76.2602,Trident Hotel Cochin
283,Gualaco,HN,89.44,clear sky,15.05,-86.05,Los encuentros
287,Kalianget,ID,78.39,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
290,Ugoofaaru,MV,80.71,clear sky,5.6667,73.0,Ungoofaaru Inn
292,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
295,Shahpur,IN,75.22,clear sky,16.7,76.8333,Ashwini Hotel & Deluxe Lodge
303,Lucea,JM,82.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
310,Dhidhdhoo,MV,80.62,clear sky,6.8833,73.1,Dhidhoo beach
311,Praya,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
316,Mana,GF,79.12,scattered clouds,5.6592,-53.7767,LE SAMANA
319,Puerto Escondido,MX,83.98,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
321,Buin,CL,84.06,overcast clouds,-33.7333,-70.75,Paihuen
332,Rio Verde De Mato Grosso,BR,83.07,moderate rain,-18.9181,-54.8442,Quedas Palace Hotel
336,Boyolangu,ID,76.03,overcast clouds,-8.1181,111.8935,Yos ega cv
341,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
342,Kerema,PG,77.54,overcast clouds,-7.9631,145.7785,Frena Lodge
346,Cairns,AU,78.75,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
347,Kavieng,PG,80.67,light rain,-2.5744,150.7967,Nusa Island Retreat
353,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
365,Moratuwa,LK,75.22,clear sky,6.773,79.8816,Sa Mansion By Yoho
366,Gbarnga,LR,81.18,clear sky,6.9956,-9.4722,Passion Hotel 2
367,Kieta,PG,77.52,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
368,Nkhata Bay,MW,75.34,scattered clouds,-11.6066,34.2907,Mayoka Village
369,Palauig,PH,77.25,few clouds,15.435,119.9045,Alperi Botique Resort
386,Gambela,ET,88.47,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
391,Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
396,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
400,Saint-Pierre,RE,80.24,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
411,Tambun,ID,83.48,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
413,Basco,PH,75.22,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
419,Harper,LR,80.73,clear sky,4.375,-7.7169,Screensaver
431,Sassandra,CI,80.44,clear sky,4.95,-6.0833,la terrasse
432,Mananjary,MG,75.99,moderate rain,-21.2167,48.3333,Vahiny Lodge
436,Perbaungan,ID,77.11,scattered clouds,3.5679,98.956,Bendang Lama
437,Saint-Paul,RE,80.69,heavy intensity rain,-21.0096,55.2707,Boucan Canot
438,Sindou,BF,80.19,broken clouds,10.6667,-5.1667,LERABA HOTEL
439,Cangucu,BR,88.81,broken clouds,-31.395,-52.6756,Compacto 2D Centro Canela
441,Fontem,CM,77.63,overcast clouds,5.4685,9.8818,Vista Palace Hotel
444,Nortelandia,BR,85.98,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
447,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
460,Tutoia,BR,89.58,overcast clouds,-2.7619,-42.2744,Pousada Guará's
468,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
469,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
480,Palhoca,BR,89.06,few clouds,-27.802,-48.6591,Rancho Serra Mar
483,Wamba,NG,77.81,few clouds,8.9333,8.6,Roma Zee Guest House Annex
491,Touba,CI,79.68,clear sky,8.2833,-7.6833,Hotel de L'Amitié Vraie
494,Pucallpa,PE,84.24,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
501,Matalom,PH,77.83,overcast clouds,10.2831,124.7878,Holy Child Pension House
504,Mount Pleasant,US,76.1,clear sky,32.7941,-79.8626,Best Western Patriots Point
508,Viedma,AR,87.91,clear sky,-40.8135,-62.9967,Hotel Cristal
511,Banda Aceh,ID,78.51,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
523,Sola,VU,75.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
526,Hualmay,PE,76.46,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
527,Acari,PE,82.18,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
539,Nioaque,BR,86.0,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
541,Lang Suan,TH,77.31,scattered clouds,9.9456,99.0785,Langsuan Resort
542,Acapulco,MX,82.38,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
543,Lima,PE,81.9,clear sky,-12.0432,-77.0282,Hotel Kamana
